Station_0,Station_1,Station_2,Station_3,Station_4,Station_5,Station_6,Station_7,Station_8,Station_9
USS0007K01S,USS0007K09S,USS0007K11S,USS0006L14S,US1COGN0066,US1COGN0018,US1COGN0050,USS0006L11S,US1COPT0007,US1CODL0045
USS0007K01S,USS0007K09S,USS0007K11S,USS0006L14S,US1COGN0066,US1COGN0018,US1COGN0050,USS0006L11S,US1COPT0007,USW00003098
USS0007K01S,USS0007K09S,USS0007K11S,USS0006L14S,US1COGN0066,US1COGN0018,USS0006L11S,US1COGN0050,US1COGN0059,US1COPT0007
USS0007K01S,USS0007K11S,USS0007K09S,USS0006L14S,US1COGN0066,US1COGN0018,USS0006L11S,US1COGN0050,US1COGN0059,USS0007K12S
USS0007K01S,USS0007K11S,USS0007K09S,USS0006L14S,US1COGN0018,US1COGN0066,USS0006L11S,US1COGN0050,US1COGN0059,US1CODL0045
USS0007K01S,USS0007K11S,USS0006L14S,USS0007K09S,US1COGN0018,US1COGN0066,USS0006L11S,US1COGN0050,US1COGN0059,USS0007K12S
USS0007K01S,USS0007K11S,USS0006L14S,USS0007K09S,US1COGN0018,US1COGN0066,USS0006L11S,US1COGN0050,US1COGN0059,USS0007K12S
USS0007K01S,USS0007K11S,USS0006L14S,US1COGN0018,US1COGN0066,USS0007K09S,USS0006L11S,US1COGN0059,US1COGN0050,USS0007K12S
USS0007K11S,USS0007K01S,USS0006L14S,US1COGN0018,US1COGN0066,USS0007K09S,USS0006L11S,US1COGN0059,US1COGN0050,USS0007K12S
USS0007K11S,USS0007K01S,USS0006L14S,US1COGN0018,US1COGN0066,USS0006L11S,USS0007K09S,US1COGN0059,USS0007K12S,US1COGN0050
USS0007K11S,USS0007K01S,USS0006L14S,US1COGN0018,US1COGN0066,USS0006L11S,USS0007K09S,US1COGN0059,USS0007K12S,US1COGN0050
USS0007K11S,USS0007K01S,USS0006L14S,US1COGN0018,US1COGN0066,USS0006L11S,USS0007K09S,US1COGN0059,USS0007K12S,US1COGN0050
USS0007K11S,USS0007K01S,USS0006L14S,US1COGN0018,US1COGN0066,USS0006L11S,USS0007K09S,US1COGN0059,USS0007K12S,USS0006L02S
USS0007K11S,USS0007K01S,US1COGN0018,USS0006L14S,US1COGN0066,USS0006L11S,USS0007K09S,US1COGN0059,USS0007K12S,US1CODL0045
USS0007K11S,USS0007K01S,US1COGN0018,USS0006L14S,US1COGN0066,USS0006L11S,USS0007K09S,US1COGN0059,USS0007K12S,USS0006L02S
USS0007K11S,USS0007K01S,US1COGN0018,USS0006L14S,US1COGN0066,USS0006L11S,USS0007K09S,USS0007K12S,US1COGN0059,USS0006L02S
